Country,Units,2018,2019,2020
Afghanistan,Percent,0.054,0.054,0.054
Albania,Percent,0.028,0.028,0.028
Algeria,Percent,0.482,0.48,0.476
Angola,Percent,0.148,0.143,0.14
Antigua and Barbuda,Percent,0.002,0.002,0.002
Argentina,Percent,0.676,0.637,0.608
Armenia,Percent,0.023,0.023,0.024
Aruba,Percent,0.003,0.003,0.003
Australia,Percent,0.973,0.962,0.952
Austria,Percent,0.342,0.338,0.332
Azerbaijan,Percent,0.132,0.132,0.13
The Bahamas,Percent,0.009,0.009,0.009
Bahrain,Percent,0.055,0.054,0.054
Bangladesh,Percent,0.564,0.59,0.614
Barbados,Percent,0.004,0.004,0.004
Belarus,Percent,0.14,0.138,0.134
Belgium,Percent,0.407,0.4,0.392
Belize,Percent,0.002,0.002,0.002
Benin,Percent,0.028,0.029,0.03
Bhutan,Percent,0.006,0.006,0.006
Bolivia,Percent,0.066,0.067,0.067
Bosnia and Herzegovina,Percent,0.035,0.035,0.035
Botswana,Percent,0.031,0.031,0.031
Brazil,Percent,2.486,2.436,2.405
Brunei Darussalam,Percent,0.026,0.025,0.026
Bulgaria,Percent,0.12,0.121,0.12
Burkina Faso,Percent,0.029,0.03,0.031
Burundi,Percent,0.006,0.006,0.006
Cabo Verde,Percent,0.003,0.003,0.003
Cambodia,Percent,0.052,0.054,0.056
Cameroon,Percent,0.07,0.071,0.072
Canada,Percent,1.357,1.339,1.319
Central African Republic,Percent,0.003,0.003,0.003
Chad,Percent,0.023,0.022,0.023
Chile,Percent,0.356,0.354,0.353
China,Percent,18.665,19.251,19.709
Colombia,Percent,0.55,0.552,0.553
Comoros,Percent,0.002,0.002,0.002
Democratic Republic of the Congo,Percent,0.058,0.059,0.059
Republic of Congo,Percent,0.023,0.023,0.023
Costa Rica,Percent,0.065,0.065,0.064
Côte d'Ivoire,Percent,0.079,0.083,0.086
Croatia,Percent,0.079,0.079,0.079
Cyprus,Percent,0.026,0.026,0.025
Czech Republic,Percent,0.293,0.291,0.289
Denmark,Percent,0.223,0.221,0.217
Djibouti,Percent,0.004,0.004,0.004
Dominica,Percent,0.001,0.001,0.001
Dominican Republic,Percent,0.139,0.142,0.144
Ecuador,Percent,0.148,0.143,0.139
Egypt,Percent,0.956,0.981,1.005
El Salvador,Percent,0.039,0.039,0.039
Equatorial Guinea,Percent,0.022,0.02,0.019
Eritrea,Percent,0.005,0.005,0.005
Estonia,Percent,0.033,0.033,0.033
Eswatini,Percent,0.009,0.009,0.009
Ethiopia,Percent,0.162,0.169,0.176
Fiji,Percent,0.008,0.008,0.008
Finland,Percent,0.19,0.187,0.183
France,Percent,2.193,2.158,2.114
Gabon,Percent,0.028,0.028,0.028
The Gambia,Percent,0.004,0.005,0.005
Georgia,Percent,0.031,0.032,0.032
Germany,Percent,3.207,3.133,3.069
Ghana,Percent,0.142,0.148,0.151
Greece,Percent,0.231,0.228,0.226
Grenada,Percent,0.001,0.001,0.001
Guatemala,Percent,0.108,0.108,0.108
Guinea,Percent,0.023,0.023,0.024
Guinea-Bissau,Percent,0.002,0.003,0.003
Guyana,Percent,0.005,0.005,0.009
Haiti,Percent,0.015,0.015,0.015
Honduras,Percent,0.036,0.036,0.037
Hong Kong SAR,Percent,0.355,0.346,0.34
Hungary,Percent,0.23,0.234,0.234
Iceland,Percent,0.014,0.014,0.014
India,Percent,7.742,7.984,8.268
Indonesia,Percent,2.581,2.635,2.678
Islamic Republic of Iran,Percent,1.178,1.037,1.003
Iraq,Percent,0.495,0.497,0.503
Ireland,Percent,0.287,0.291,0.291
Israel,Percent,0.249,0.25,0.249
Italy,Percent,1.772,1.722,1.675
Jamaica,Percent,0.02,0.02,0.019
Japan,Percent,4.133,4.052,3.938
Jordan,Percent,0.069,0.068,0.068
Kazakhstan,Percent,0.376,0.379,0.381
Kenya,Percent,0.131,0.135,0.138
Kiribati,Percent,--,--,--
Korea,Percent,1.65,1.635,1.617
Kosovo,Percent,0.015,0.016,0.016
Kuwait,Percent,0.225,0.22,0.219
Kyrgyz Republic,Percent,0.018,0.018,0.018
Lao P.D.R.,Percent,0.04,0.041,0.042
Latvia,Percent,0.043,0.043,0.042
Lebanon,Percent,0.066,0.064,0.063
Lesotho,Percent,0.005,0.005,0.005
Liberia,Percent,0.005,0.005,0.004
Libya,Percent,0.055,0.043,0.042
Lithuania,Percent,0.072,0.072,0.072
Luxembourg,Percent,0.047,0.047,0.047
Macao SAR,Percent,0.057,0.055,0.052
Madagascar,Percent,0.032,0.032,0.033
Malawi,Percent,0.017,0.018,0.018
Malaysia,Percent,0.749,0.76,0.768
Maldives,Percent,0.006,0.006,0.006
Mali,Percent,0.033,0.033,0.034
Malta,Percent,0.016,0.016,0.016
Marshall Islands,Percent,--,--,--
Mauritania,Percent,0.013,0.014,0.014
Mauritius,Percent,0.022,0.022,0.022
Mexico,Percent,1.899,1.852,1.816
Micronesia,Percent,--,--,--
Moldova,Percent,0.019,0.019,0.019
Mongolia,Percent,0.032,0.033,0.034
Montenegro,Percent,0.009,0.009,0.009
Morocco,Percent,0.232,0.232,0.232
Mozambique,Percent,0.029,0.029,0.029
Myanmar,Percent,0.243,0.251,0.258
