,Region,Country,Rep,Location,StationID
0,Africa,Algeria,DZA,Algiers,603900
1,Africa,Egypt,EGY,Al Minya,623870
2,Africa,Egypt,EGY,Alexandria,623180
3,Africa,Egypt,EGY,Aswan,624140
4,Africa,Egypt,EGY,Asyut,623930
5,Africa,Egypt,EGY,Cairo,623660
6,Africa,Egypt,EGY,El Arish,623370
7,Africa,Egypt,EGY,Helwan,623780
8,Africa,Egypt,EGY,Hurghada,624630
9,Africa,Egypt,EGY,Ismailia,624400
10,Africa,Egypt,EGY,Kharga,624350
11,Africa,Egypt,EGY,Luxor,624050
12,Africa,Ethiopia,ETH,Addis Ababa-Bole,634500
13,Africa,Ethiopia,ETH,Awassa,634600
14,Africa,Ethiopia,ETH,Bahar Dar,633320
15,Africa,Ethiopia,ETH,Combolcha,633330
16,Africa,Ethiopia,ETH,Debre Marcos,633340
17,Africa,Ethiopia,ETH,Dire Dawa,634710
18,Africa,Ethiopia,ETH,Gondar,633310
19,Africa,Ethiopia,ETH,Jimma,634020
20,Africa,Ethiopia,ETH,Metehara,634530
21,Africa,Ghana,GHA,Accra,654720
22,Africa,Kenya,KEN,Eldoret,636860
23,Africa,Kenya,KEN,Embu,637200
24,Africa,Kenya,KEN,Garissa,637230
25,Africa,Kenya,KEN,Kakamega,636870
26,Africa,Kenya,KEN,Kisii,637090
27,Africa,Kenya,KEN,Kisumu,637080
28,Africa,Kenya,KEN,Kitale,636610
29,Africa,Kenya,KEN,Lamu-Manda Island,637720
30,Africa,Kenya,KEN,Lodwar,636120
31,Africa,Kenya,KEN,Makindu,637660
32,Africa,Kenya,KEN,Malindi,637990
33,Africa,Kenya,KEN,Mandera,636240
34,Africa,Kenya,KEN,Marsabit,636410
35,Africa,Kenya,KEN,Meru,636950
36,Africa,Kenya,KEN,Mombasa-Moi,638200
37,Africa,Kenya,KEN,Moyale,636190
38,Africa,Kenya,KEN,Nairobi-Dagoretti,637410
39,Africa,Kenya,KEN,Nairobi-Kenyatta,637400
40,Africa,Kenya,KEN,Nairobi-Wilson,637420
41,Africa,Kenya,KEN,Nakuru,637140
42,Africa,Kenya,KEN,Narok,637370
43,Africa,Kenya,KEN,Nyeri,637170
44,Africa,Kenya,KEN,Voi,637930
45,Africa,Libyan Arab Jamahiriya,LBY,Tripoli,620100
46,Africa,Morocco,MAR,Casablanca Nouasser,601560
47,Africa,Madagascar,MDG,Antananarivo,670830
48,Africa,Senegal,SEN,Dakar,616410
49,Africa,Tunisia,TUN,Tunis,607150
50,Africa,South Africa,ZAF,Cape Town,688160
51,Africa,South Africa,ZAF,Johannesburg,683680
52,Africa,Zimbabwe,ZWE,Harare,677750
53,Asia,United Arab Emirates,ARE,Abu Dhabi,412170
54,Asia,Bangladesh,BGD,Bogra,418830
55,Asia,Bangladesh,BGD,Chittagong-Patenga,419780
56,Asia,Bangladesh,BGD,Coxs Bazar,419920
57,Asia,Bangladesh,BGD,Dhaka,419230
