Country,City,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,mean,max,outbreak
Australia,,,,,4.0,4.0,,,,,,,,,,4.0,4.0,False
Brazil,,,,,,,,,,,,,,,,,,False
Cambodia,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False
Canada,Ontario,,,,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,,1.8888888888888888,3.0,False
Colombia,,,,,,,,,,,,,,,,,,False
France,,,,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,4.5,6.0,False
Hong Kong SAR,Hong Kong,,2.0,2.0,5.0,8.0,8.0,8.0,10.0,10.0,12.0,13.0,15.0,15.0,17.0,9.615384615384615,17.0,True
Ivory Coast,,,,,,,1.0,,,,,,,,,1.0,1.0,False
Japan,,2.0,1.0,2.0,2.0,4.0,4.0,7.0,7.0,11.0,15.0,20.0,20.0,20.0,22.0,9.785714285714286,22.0,True
Macao SAR,Macao SAR,1.0,2.0,2.0,2.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,10.0,5.642857142857143,10.0,False
China,Anhui,1.0,9.0,15.0,39.0,60.0,70.0,106.0,152.0,200.0,237.0,297.0,340.0,408.0,480.0,172.42857142857142,480.0,True
China,Beijing,14.0,22.0,36.0,41.0,68.0,80.0,91.0,111.0,114.0,139.0,168.0,191.0,212.0,228.0,108.21428571428571,228.0,True
China,Chongqing,6.0,9.0,27.0,57.0,75.0,110.0,132.0,147.0,182.0,211.0,247.0,300.0,337.0,366.0,157.57142857142858,366.0,True
China,Fujian,1.0,5.0,10.0,18.0,35.0,59.0,80.0,84.0,101.0,120.0,144.0,159.0,179.0,194.0,84.92857142857143,194.0,True
China,Gansu,,2.0,2.0,4.0,7.0,14.0,19.0,24.0,26.0,29.0,40.0,51.0,55.0,57.0,25.384615384615383,57.0,True
China,Guangdong,26.0,32.0,53.0,78.0,111.0,151.0,207.0,277.0,354.0,436.0,535.0,632.0,725.0,813.0,316.42857142857144,813.0,True
China,Guangxi,2.0,5.0,23.0,23.0,36.0,46.0,51.0,58.0,78.0,87.0,100.0,111.0,127.0,139.0,63.285714285714285,139.0,True
China,Guizhou,1.0,3.0,3.0,4.0,5.0,7.0,9.0,9.0,12.0,29.0,29.0,38.0,46.0,58.0,18.071428571428573,58.0,True
China,Hainan,4.0,5.0,8.0,19.0,22.0,33.0,40.0,43.0,46.0,52.0,62.0,64.0,72.0,80.0,39.285714285714285,80.0,True
China,Hebei,1.0,1.0,2.0,8.0,13.0,18.0,33.0,48.0,65.0,82.0,96.0,104.0,113.0,126.0,50.714285714285715,126.0,True
China,Heilongjiang,,2.0,4.0,9.0,15.0,21.0,33.0,38.0,44.0,59.0,80.0,95.0,121.0,155.0,52.0,155.0,True
China,Henan,5.0,5.0,9.0,32.0,83.0,128.0,168.0,206.0,278.0,352.0,422.0,493.0,566.0,675.0,244.42857142857142,675.0,True
China,Hubei,444.0,444.0,549.0,761.0,1058.0,1423.0,3554.0,3554.0,4903.0,5806.0,7153.0,11177.0,13522.0,16678.0,5073.285714285715,16678.0,True
China,Hunan,4.0,9.0,24.0,43.0,69.0,100.0,143.0,221.0,277.0,332.0,389.0,463.0,521.0,593.0,227.71428571428572,593.0,True
China,Inner Mongolia,,,1.0,7.0,7.0,11.0,15.0,16.0,19.0,20.0,23.0,27.0,34.0,35.0,17.916666666666668,35.0,True
China,Jiangsu,1.0,5.0,9.0,18.0,33.0,47.0,70.0,99.0,129.0,168.0,202.0,236.0,271.0,308.0,114.0,308.0,True
China,Jiangxi,2.0,7.0,18.0,18.0,36.0,72.0,109.0,109.0,162.0,240.0,286.0,333.0,391.0,476.0,161.35714285714286,476.0,True
China,Jilin,,1.0,3.0,4.0,4.0,6.0,8.0,9.0,14.0,14.0,17.0,23.0,31.0,42.0,13.538461538461538,42.0,True
China,Liaoning,2.0,3.0,4.0,17.0,21.0,27.0,34.0,39.0,41.0,48.0,64.0,70.0,74.0,81.0,37.5,81.0,True
China,Ningxia,1.0,1.0,2.0,3.0,4.0,7.0,11.0,12.0,17.0,21.0,26.0,28.0,31.0,34.0,14.142857142857142,34.0,True
China,Qinghai,,,,1.0,1.0,6.0,6.0,6.0,8.0,8.0,9.0,11.0,13.0,15.0,7.636363636363637,15.0,True
China,Shaanxi,,3.0,5.0,15.0,22.0,35.0,46.0,56.0,63.0,87.0,101.0,116.0,128.0,142.0,63.0,142.0,True
China,Shandong,2.0,6.0,15.0,27.0,46.0,75.0,95.0,130.0,158.0,184.0,206.0,230.0,259.0,275.0,122.0,275.0,True
China,Shanghai,9.0,16.0,20.0,33.0,40.0,53.0,66.0,96.0,112.0,135.0,169.0,182.0,203.0,219.0,96.64285714285714,219.0,True
China,Shanxi,1.0,1.0,1.0,6.0,9.0,13.0,27.0,27.0,35.0,39.0,47.0,66.0,74.0,81.0,30.5,81.0,True
China,Sichuan,5.0,8.0,15.0,28.0,44.0,69.0,90.0,108.0,142.0,177.0,207.0,231.0,254.0,282.0,118.57142857142857,282.0,True
China,Tianjin,4.0,4.0,8.0,10.0,14.0,23.0,24.0,27.0,31.0,32.0,41.0,48.0,60.0,67.0,28.071428571428573,67.0,True
China,Tibet,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False
China,Xinjiang,,2.0,2.0,3.0,4.0,5.0,10.0,13.0,14.0,17.0,18.0,21.0,24.0,29.0,12.461538461538462,29.0,True
China,Yunnan,1.0,2.0,5.0,11.0,16.0,26.0,44.0,55.0,70.0,83.0,93.0,105.0,117.0,122.0,53.57142857142857,122.0,True
China,Zhejiang,10.0,27.0,43.0,62.0,104.0,128.0,173.0,296.0,428.0,538.0,599.0,661.0,724.0,829.0,330.14285714285717,829.0,True
Malaysia,,,,,3.0,4.0,4.0,4.0,7.0,8.0,8.0,8.0,8.0,8.0,10.0,6.545454545454546,10.0,False
Mexico,,,,,,,,,,,,,,,,,,False
Nepal,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False
Philippines,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,1.5,2.0,False
Singapore,,,1.0,3.0,3.0,4.0,5.0,7.0,7.0,10.0,13.0,16.0,18.0,18.0,24.0,9.923076923076923,24.0,True
South Korea,,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,11.0,12.0,15.0,15.0,16.0,6.714285714285714,16.0,True
Sri Lanka,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False
Taiwan,Taiwan,1.0,1.0,3.0,3.0,4.0,5.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,11.0,6.642857142857143,11.0,True
Thailand,,2.0,3.0,5.0,7.0,8.0,8.0,14.0,14.0,14.0,19.0,19.0,19.0,19.0,25.0,12.571428571428571,25.0,True
United States,Arizona,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,False
United States,California,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,False
United States,Chicago,,,1.0,,,,,,,,,,,,1.0,1.0,False
United States,Illinois,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,1.1428571428571428,2.0,False
United States,Washington,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,False
Vietnam,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,8.0,8.0,3.5384615384615383,8.0,False
Australia,New South Wales,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,False
Australia,Queensland,,,,4.0,4.0,,,,3.0,2.0,3.0,2.0,2.0,3.0,2.875,4.0,False
Australia,Victoria,,,,4.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,2.909090909090909,4.0,False
Canada,British Columbia,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False
Finland,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False
Germany,Bavaria,,,,,,,4.0,4.0,4.0,5.0,8.0,10.0,12.0,12.0,7.375,12.0,True
India,,,,,,,,,,1.0,1.0,1.0,2.0,3.0,3.0,1.8333333333333333,3.0,False
Italy,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,False
Russia,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,False
Sweden,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False
United Kingdom,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,False
United Arab Emirates,,,,,,,,,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.428571428571429,5.0,False
Germany,,,,,,,,,,,,8.0,10.0,12.0,12.0,10.5,12.0,True
United States,"Chicago, IL",,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,False
Australia,South Australia,,,,4.0,4.0,,,,,,1.0,2.0,2.0,2.0,2.5,4.0,False
Spain,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,False
United States,"Boston, MA",,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,False
United States,"Los Angeles, CA",,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,False
United States,"Orange, CA",,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,False
United States,"Santa Clara, CA",,,,,,,,,,,1.0,1.0,2.0,2.0,1.5,2.0,False
United States,"Seattle, WA",,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,False
