,Country,GDP,PPP,Population,Population density,daily cases mean,daily cases max,outbreak,lat,lng,education level,national flights,international flights,Mean_Weather
0,Albania,5847.06,5847.06,2877.8,105.029,0,0,FALSE,41.09417692,20.04595385,62.54776001,0,110,
1,Argentina,9730.91,9730.91,45195.777,16.515,0,0,FALSE,-34.18477613,-63.93370258,79.98670197,395,164,23.74833333
2,Armenia,4759.21,4759.21,2963.234,104.083,0,0,FALSE,40.314125,44.81009167,43.31090164,0,299,
3,Aruba,26469.45,26469.45,106.766,593.144,0,0,FALSE,12.5304,-70.029,17.00259018,2,470,
4,Australia,52952.27,52952.27,25499.881,3.319,3.256818182,4,FALSE,-30.06169312,140.4723876,86.55455017,0,50,24.02906028
5,Austria,51330.46,51330.46,9006.4,109.289,0,0,FALSE,47.66742,14.30087,80.38678741,6,1335,2.42231405
6,Azerbaijan,4718.93,4718.93,10139.175,122.664,0,0,FALSE,40.22210811,47.38414865,21.44042969,0,418,
7,Bahrain,25507.49,25507.49,1701.583,2238.925,0,0,FALSE,26.2361,50.5831,36.4513588,0,1173,
8,Bangladesh,2067.54,2067.54,164689.383,1265.187,0,0,FALSE,24.07283125,89.9763875,,903,804,20.94692737
9,Belarus,6744.24,6744.24,9449.321,46.569,0,0,FALSE,53.60469333,27.80218667,91.0297699,,,1.398333333
10,Belgium,45979.69,45979.69,11589.616,382.748,1,1,FALSE,50.69182,4.5818,72.30957031,0,18,5.462777778
11,Belize,4978.34,4978.34,397.621,17.432,0,0,FALSE,17.3522,-88.57064286,24.18479919,2,157,25.90322581
12,Bosnia and Herzegovina,6009.57,6009.57,3280.815,64.33,0,0,FALSE,44.34188333,17.80218333,45.62792969,0,45,3.088333333
13,Botswana,8116.17,8116.17,2351.625,4.149,0,0,FALSE,-22.345384,24.910792,25.0077095,0,188,
14,Brazil,8955.65,8955.65,212559.409,25.431,0,0,FALSE,-15.55256434,-47.71376796,46.44657898,11918,1333,26.31895561
15,Brunei Darussalam,28396.71,28396.71,437.483,83.014,0,0,FALSE,4.745075,114.714025,,0,310,27.98666667
16,Bulgaria,10133.07,10133.07,6948.445,64.006,0,0,FALSE,42.85921481,25.25151852,66.53833771,,,3.812222222
17,Burkina Faso,757.613,757.613,20903.278,76.401,0,0,FALSE,12.22618788,-1.823815152,4.775909901,0,59,
