Country,GDP,PPP,Population,Population density,daily cases mean,daily cases max,outbreak,lat,lng,education level,national flights,international flights,Mean_Weather
Argentina,9730.91,9730.91,45195.777,16.515,0.0,0.0,False,-34.184776129032244,-63.93370258064519,79.986701965332,395.0,164.0,23.74833333333333
Australia,52952.27,52952.27,25499.881,3.319,3.2568181818181814,4.0,False,-30.06169311926604,140.47238761467887,86.5545501708984,0.0,50.0,24.029060279020776
Austria,51330.46,51330.46,9006.4,109.289,0.0,0.0,False,47.66742000000001,14.30087,80.3867874145508,6.0,1335.0,2.4223140495867765
Belgium,45979.69,45979.69,11589.616000000002,382.74800000000005,1.0,1.0,False,50.69181999999999,4.581799999999999,72.3095703125,0.0,18.0,5.462777777777778
Belize,4978.34,4978.34,397.621,17.432000000000002,0.0,0.0,False,17.3522,-88.57064285714286,24.1847991943359,2.0,157.0,25.903225806451612
Bosnia and Herzegovina,6009.57,6009.57,3280.815,64.33,0.0,0.0,False,44.341883333333335,17.802183333333332,45.6279296875,0.0,45.0,3.0883333333333334
Brazil,8955.65,8955.65,212559.40899999999,25.430999999999997,0.0,0.0,False,-15.552564341085258,-47.71376795865634,46.44657897949221,11918.0,1333.0,26.318955613577042
Chile,15854.65,15854.65,19116.209,25.71,0.0,0.0,False,-34.80091190476192,-71.64710595238093,83.8164367675781,2.0,28.0,18.89600000000001
China,10872.5,10872.5,1439323.774,153.312,253.412735114348,16678.0,True,35.192323979591805,113.99095102040822,30.1620693206787,97250.0,16290.0,0.25146350783340027
Colombia,6744.01,6744.01,50882.884000000005,45.861000000000004,0.0,0.0,False,5.907812499999998,-74.65676111111114,50.1038208007813,5955.0,1993.0,14.066666666666665
Cyprus,28626.57,28626.57,1207.361,130.667,0.0,0.0,False,34.99529999999999,33.28576666666667,47.52524185180661,0.0,631.0,12.508333333333333
Egypt,3478.11,3478.11,102334.403,102.802,0.0,0.0,False,28.758545238095238,31.095176190476195,30.316120147705107,790.0,2110.0,14.855577299412916
